Date,Article Sentiment,Impact Score
2015-10-28,0.102,72.0
2015-10-27,0.123,73.0
2015-10-26,0.101,74.0
2015-10-25,0.125,73.0
2015-10-24,0.183,74.0
2015-10-23,0.139,73.0
2015-10-22,0.029,73.0
2015-10-21,-0.031,74.0
2015-10-20,-0.146,74.0
2015-10-19,-0.128,74.0
2015-10-18,0.114,71.0
2015-10-17,0.161,73.0
2015-10-16,0.142,71.0
2015-10-15,0.136,72.0
2015-10-14,0.167,72.0
2015-10-13,0.085,71.0
2015-10-12,0.136,71.0
2015-10-11,0.07,71.0
2015-10-10,0.127,72.0
2015-10-09,0.067,71.0
2015-10-08,0.141,71.0
2015-10-07,0.251,72.0
2015-10-06,0.177,71.0
2015-10-05,0.087,70.0
2015-10-04,0.093,70.0
2015-10-03,0.078,71.0
2015-10-02,0.101,72.0
2015-10-01,0.124,72.0
2015-09-30,0.11,73.0
2015-09-29,0.113,73.0
2015-09-28,0.127,71.0
2015-09-27,0.111,71.0
2015-09-26,0.201,72.0
2015-09-25,0.105,72.0
2015-09-24,0.138,72.0
2015-09-23,0.207,72.0
2015-09-22,0.157,72.0
2015-09-21,0.108,71.0
2015-09-20,0.066,72.0
2015-09-19,0.03,71.0
2015-09-18,0.022,71.0
2015-09-17,0.093,73.0
2015-09-16,0.117,72.0
2015-09-15,0.106,72.0
2015-09-14,0.097,71.0
2015-09-13,0.139,72.0
2015-09-12,0.083,72.0
2015-09-11,0.029,72.0
2015-09-10,-0.008,73.0
2015-09-09,0.05,73.0
2015-09-08,0.034,72.0
2015-09-07,0.023,73.0
2015-09-06,0.02,72.0
2015-09-05,0.043,73.0
2015-09-04,0.17,72.0
2015-09-03,0.1,72.0
2015-09-02,0.1,72.0
2015-09-01,0.022,72.0
2015-08-31,0.075,71.0
2015-08-30,0.101,70.0
2015-08-29,0.053,71.0
2015-08-28,-0.018,72.0
2015-08-27,0.053,72.0
2015-08-26,0.109,72.581
2015-08-25,0.114,72.817
2015-08-24,0.071,71.62
2015-08-23,0.037,72.5
2015-08-22,0.053,72.906
2015-08-21,0.075,72.82
2015-08-20,0.037,73.138
2015-08-19,0.024,73.326
2015-08-18,-0.049,74.041
2015-08-17,0.017,71.578
2015-08-16,0.114,72.041
2015-08-15,0.057,73.777
2015-08-14,0.142,71.881
2015-08-13,0.11,71.114
2015-08-12,0.136,71.894
2015-08-11,0.077,71.576
2015-08-10,0.196,70.089
2015-08-09,-0.041,72.727
2015-08-08,0.187,72.677
2015-08-07,0.171,71.477
2015-08-06,0.145,72.132
2015-08-05,0.147,71.992
2015-08-04,0.093,71.847
2015-08-03,0.135,71.0
2015-08-02,0.178,72.831
2015-08-01,0.147,72.453
2015-07-31,0.097,70.205
2015-07-30,0.12,72.785
2015-07-29,0.152,72.132
2015-07-28,0.142,72.329
2015-07-27,0.025,74.465
2015-07-26,0.311,73.489
2015-07-25,0.23,75.49
2015-07-24,0.207,74.602
2015-07-23,0.135,73.724
2015-07-22,0.104,71.7
2015-07-21,0.178,73.995
2015-07-20,0.178,71.123
2015-07-19,0.103,74.368
2015-07-18,0.191,73.719
2015-07-17,0.152,73.187
2015-07-16,0.226,71.74
2015-07-15,0.203,71.316
2015-07-14,0.218,72.568
2015-07-13,0.177,71.695
2015-07-12,0.161,72.076
2015-07-11,0.134,72.726
2015-07-10,0.138,72.679
2015-07-09,0.133,71.966
2015-07-08,0.118,72.25
2015-07-07,0.202,71.05
2015-07-06,0.124,70.364
2015-07-05,0.08,72.368
2015-07-04,0.154,72.064
2015-07-03,0.085,72.306
2015-07-02,0.102,73.13
2015-07-01,0.097,71.845
2015-06-30,0.1,71.982
2015-06-29,0.117,71.506
2015-06-28,0.114,71.713
2015-06-27,0.084,72.529
2015-06-26,0.1,73.167
2015-06-25,0.041,74.243
2015-06-24,-0.068,73.975
2015-06-23,-0.153,73.1
2015-06-22,0.086,72.101
2015-06-21,-0.064,71.685
2015-06-20,-0.035,71.131
2015-06-19,0.247,72.906
2015-06-18,-0.133,75.206
2015-06-17,0.107,73.025
