Date,Article Sentiment,Impact Score
2015-09-06,-0.021,73.0
2015-09-05,0.258,71.0
2015-09-04,0.161,71.0
2015-09-03,0.174,72.0
2015-09-02,0.04,72.0
2015-09-01,0.008,72.0
2015-08-31,0.043,71.0
2015-08-30,0.037,71.0
2015-08-29,0.004,71.0
2015-08-28,0.03,71.0
2015-08-27,-0.015,71.0
2015-08-26,-0.092,73.432
2015-08-25,0.068,72.474
2015-08-24,-0.038,71.111
2015-08-23,0.022,71.323
2015-08-22,0.004,71.086
2015-08-21,0.079,71.669
2015-08-20,0.093,72.619
2015-08-19,-0.048,72.183
2015-08-18,-0.073,71.719
2015-08-17,-0.015,70.867
2015-08-16,-0.058,70.636
2015-08-15,0.106,71.332
2015-08-14,0.026,71.872
2015-08-13,0.045,72.616
2015-08-12,-0.005,70.94
2015-08-11,0.002,70.85
2015-08-10,0.05,71.755
2015-08-09,0.028,71.478
2015-08-08,-0.022,75.218
2015-08-07,0.133,71.297
2015-08-06,0.092,71.372
2015-08-05,-0.013,71.271
2015-08-04,-0.004,71.376
2015-08-03,-0.07,72.008
2015-08-02,-0.016,72.437
2015-08-01,0.018,71.957
2015-07-31,0.104,74.492
2015-07-30,0.162,76.453
2015-07-29,0.065,73.47
2015-07-28,0.049,72.955
2015-07-27,0.003,73.473
2015-07-26,0.058,72.16
2015-07-25,-0.064,72.631
2015-07-24,0.0,72.354
2015-07-23,-0.031,72.443
2015-07-22,0.042,72.552
2015-07-21,-0.009,71.831
2015-07-20,-0.005,71.849
2015-07-19,0.082,71.874
2015-07-18,0.059,71.767
2015-07-17,0.044,71.82
2015-07-16,0.035,71.803
2015-07-15,0.043,71.094
2015-07-14,0.086,70.966
2015-07-13,0.063,71.495
2015-07-12,0.062,71.669
2015-07-11,0.185,71.687
2015-07-10,0.037,71.657
2015-07-09,0.146,71.769
2015-07-08,-0.01,70.529
2015-07-07,0.065,71.272
2015-07-06,0.059,72.587
2015-07-05,0.031,70.694
2015-07-04,0.002,71.406
2015-07-03,0.082,71.895
2015-07-02,0.016,71.611
2015-07-01,-0.012,70.889
2015-06-30,0.1,71.198
2015-06-29,0.183,70.469
2015-06-28,0.145,71.752
2015-06-27,0.002,72.124
2015-06-26,0.073,70.865
2015-06-25,0.113,71.372
2015-06-24,0.061,71.709
2015-06-23,-0.172,71.702
2015-06-22,-0.327,71.337
2015-06-21,-0.29,71.079
2015-06-20,-0.235,72.228
2015-06-19,-0.069,72.215
2015-06-18,-0.049,71.988
2015-06-17,-0.186,71.634
2015-06-16,-0.244,72.188
2015-06-15,-0.208,72.182
2015-06-14,-0.26,71.648
2015-06-13,-0.201,71.2
2015-06-12,-0.3,71.315
2015-06-11,-0.247,72.062
2015-06-10,-0.054,72.147
2015-06-09,-0.2,71.764
2015-06-08,-0.206,70.99
2015-06-07,-0.342,70.99
2015-06-06,-0.236,71.171
2015-06-05,-0.273,71.299
2015-06-04,-0.024,70.963
2015-06-03,-0.435,70.796
2015-06-02,-0.598,70.474
2015-06-01,-0.412,71.958
2015-05-31,-0.406,71.802
2015-05-30,-0.229,71.951
2015-05-29,-0.116,73.476
2015-05-28,-0.101,71.274
2015-05-27,-0.395,70.595
2015-05-26,-0.424,70.404
2015-05-25,-0.213,71.209
2015-05-24,-0.574,70.898
2015-05-23,-0.261,71.582
2015-05-22,-0.517,71.954
2015-05-21,-0.372,71.382
2015-05-20,-0.046,71.695
2015-05-19,-0.168,71.691
2015-05-18,-0.186,70.258
2015-05-17,-0.415,71.567
2015-05-16,-0.121,71.387
2015-05-15,0.046,71.173
2015-05-14,0.11,70.594
2015-05-13,-0.312,70.678
2015-05-12,-0.352,71.956
2015-05-11,-0.215,73.297
2015-05-10,-0.447,70.918
2015-05-09,-0.581,70.58
2015-05-08,-0.177,70.691
2015-05-07,-0.388,70.932
2015-05-06,-0.151,71.264
2015-05-05,-0.173,72.509
2015-05-04,-0.516,71.298
2015-05-03,-0.369,71.051
2015-05-02,-0.207,71.108
2015-05-01,-0.193,71.54
2015-04-30,-0.303,71.746
2015-04-29,-0.018,71.973
2015-04-28,-0.163,71.708
2015-04-27,-0.216,72.662
2015-04-26,-0.217,72.357
2015-04-25,-0.067,72.223
2015-04-24,0.012,73.592
2015-04-23,0.085,74.196
2015-04-22,-0.084,72.448
2015-04-21,-0.11,72.197
2015-04-20,0.077,73.202
2015-04-19,-0.303,71.084
2015-04-18,-0.218,70.974
2015-04-17,-0.245,71.139
