Date,Open,High,Low,Close,Volume
2014-01-31,3215.84,3221.21,3182.41,3200.95,0.0
2014-01-30,3191.22,3230.0,3191.22,3221.78,0.0
2014-01-29,3214.33,3214.33,3179.25,3185.7,0.0
2014-01-28,3201.17,3220.48,3195.38,3218.21,0.0
2014-01-27,3215.57,3224.33,3183.11,3198.57,0.0
2014-01-24,3279.97,3279.97,3214.13,3214.13,0.0
2014-01-23,3307.46,3307.46,3267.59,3282.64,0.0
2014-01-22,3311.78,3315.57,3304.92,3312.04,0.0
2014-01-21,3304.8,3319.5,3289.29,3309.74,0.0
2014-01-17,3310.44,3313.67,3294.36,3300.51,0.0
2014-01-16,3317.13,3317.13,3303.34,3313.36,0.0
2014-01-15,3303.64,3321.89,3303.64,3317.75,0.0
2014-01-14,3269.16,3301.23,3269.16,3300.61,0.0
2014-01-13,3304.86,3308.73,3258.77,3265.27,0.0
2014-01-10,3302.34,3307.83,3288.65,3306.77,0.0
2014-01-09,3300.44,3307.99,3285.24,3298.87,0.0
2014-01-08,3298.46,3302.25,3286.82,3297.74,0.0
2014-01-07,3281.0,3301.37,3281.0,3297.45,0.0
2014-01-06,3287.43,3296.11,3272.34,3277.48,0.0
2014-01-03,3288.99,3297.92,3281.69,3285.68,0.0
2014-01-02,3311.58,3311.58,3279.14,3286.69,0.0
2013-12-31,3305.28,3317.24,3305.03,3315.59,0.0
2013-12-30,3303.02,3304.8,3298.18,3302.3,0.0
2013-12-27,3305.47,3308.75,3299.85,3302.66,0.0
2013-12-26,3290.49,3304.6,3290.49,3303.15,0.0
2013-12-24,3278.04,3287.55,3278.04,3287.55,0.0
2013-12-23,3268.53,3280.53,3268.53,3277.62,0.0
2013-12-20,3245.58,3269.46,3245.58,3259.79,0.0
2013-12-19,3243.08,3246.36,3229.37,3244.15,0.0
2013-12-18,3193.27,3246.36,3169.13,3245.59,0.0
2013-12-17,3202.13,3202.3,3185.28,3192.33,0.0
2013-12-16,3185.99,3212.41,3185.99,3202.22,0.0
2013-12-13,3186.84,3191.9,3176.93,3182.07,0.0
